tf_scan,nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1.0,1,1,2,1.0,0.7071067811865475,22,44,anti,1.0,1.0,True,0.05,0.002209708691207961,453,0.0,0.0,0.0,0.145209401218409,0.6407263688769859,0.145209401218409,0.6407263688769859,0.6738795999990543,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,nan,nan
1.0,2,2,8,0.5,0.35355339059327373,22,176,anti,1.0,1.0,True,0.05,0.0011048543456039805,906,0.0,0.0,0.0,0.009242485487991645,0.05573861857069409,0.009242485487991645,0.05573861857069409,0.7567300999944564,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,3.973710176624181,3.522959213194397
1.0,4,4,32,0.25,0.17677669529663687,22,704,anti,1.0,1.0,True,0.05,0.0005524271728019902,1811,0.0,0.0,0.0,0.0004388549560022202,0.0030606410373851256,0.0004388549560022202,0.0030606410373851256,1.4259032999980263,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.396464768242936,4.186771491431091
1.0,8,8,128,0.125,0.08838834764831843,22,2816,anti,1.0,1.0,True,0.05,0.0002762135864009951,3621,0.0,0.0,0.0,2.625410346370698e-05,0.00013301658192521604,2.625410346370698e-05,0.00013301658192521604,3.7114398999983678,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.063129363967633,4.524155841238636
1.0,16,16,512,0.0625,0.044194173824159216,22,11264,anti,1.0,1.0,True,0.05,0.00013810679320049756,7241,0.0,0.0,0.0,1.6477429451661414e-06,7.208603524766488e-06,1.6477429451661414e-06,7.208603524766488e-06,18.144408300009673,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,3.9939798320536166,4.205742491187563
2.0,1,1,2,1.0,0.7071067811865475,22,44,anti,2.0,2.0,True,0.05,0.002209708691207961,906,0.0,0.0,0.0,0.24019435000211814,0.8240409859174687,0.24019435000211814,0.8240409859174687,0.4592228999972576,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,nan,nan
2.0,2,2,8,0.5,0.35355339059327373,22,176,anti,2.0,2.0,True,0.05,0.0011048543456039805,1811,0.0,0.0,0.0,0.011611991397282046,0.07071951031959697,0.011611991397282046,0.07071951031959697,0.96166539999831,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.370514902117862,3.5425359052724907
2.0,4,4,32,0.25,0.17677669529663687,22,704,anti,2.0,2.0,True,0.05,0.0005524271728019902,3621,0.0,0.0,0.0,0.000512061384458162,0.002816820512959728,0.000512061384458162,0.002816820512959728,2.2780720999871846,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.503154831276326,4.649968741548925
2.0,8,8,128,0.125,0.08838834764831843,22,2816,anti,2.0,2.0,True,0.05,0.0002762135864009951,7241,0.0,0.0,0.0,2.7227740742735236e-05,0.00012496030228503763,2.7227740742735236e-05,0.00012496030228503763,9.605024200005573,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.233167583798793,4.494525884845493
2.0,16,16,512,0.0625,0.044194173824159216,22,11264,anti,2.0,2.0,True,0.05,0.00013810679320049756,14482,0.0,0.0,0.0,1.657357509938569e-06,7.009222386278324e-06,1.657357509938569e-06,7.009222386278324e-06,56.017053700008546,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.038120531682702,4.156071639974802
