nx,ny,K_tri,h,hmin,Np,total_dof,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,projection_enabled,projection_mode,projection_frequency,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
1,1,2,1.0,0.7071067811865475,22,44,6.283185307179586,6.283185307179586,True,1.0,0.031249999999999997,202,0.15525982725783993,0.5398703033254272,0.15525982725783993,0.5398703033254272,0.30990839999867603,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,nan,nan
2,2,8,0.5,0.35355339059327373,22,176,6.283185307179586,6.283185307179586,True,1.0,0.015624999999999998,403,0.0021334640933316044,0.010420423566316173,0.0021334640933316044,0.010420423566316173,0.5226544000324793,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,6.185342947432733,5.695127034401491
4,4,32,0.25,0.17677669529663687,22,704,6.283185307179586,6.283185307179586,True,1.0,0.007812499999999999,805,0.00018073303160587978,0.0012879418362449213,0.00018073303160587978,0.0012879418362449213,1.2233530000085011,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,3.5612657208291614,3.0162745734623115
6,6,72,0.16666666666666666,0.1178511301977579,22,1584,6.283185307179586,6.283185307179586,True,1.0,0.005208333333333332,1207,2.472866764315009e-05,0.0002078026746754058,2.472866764315009e-05,0.0002078026746754058,2.0891466999892145,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,2.8696037880157523,2.631781313747885
8,8,128,0.125,0.08838834764831843,22,2816,6.283185307179586,6.283185307179586,True,1.0,0.0039062499999999996,1609,6.090840370847726e-06,5.1319260380655596e-05,6.090840370847726e-06,5.1319260380655596e-05,3.538355499971658,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,2.021471311017897,2.0176419402212
10,10,200,0.1,0.07071067811865474,22,4400,6.283185307179586,6.283185307179586,True,1.0,0.0031249999999999993,2011,2.077185988842551e-06,1.7022135975430785e-05,2.077185988842551e-06,1.7022135975430785e-05,5.46297880000202,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,1.5520108954493321,1.592088297322045
12,12,288,0.08333333333333333,0.05892556509887891,22,6336,6.283185307179586,6.283185307179586,True,1.0,0.0026041666666666644,2413,8.714147490734178e-07,6.837723716290878e-06,8.714147490734178e-07,6.837723716290878e-06,9.365978199988604,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,1.253198962406434,1.315824045149421
14,14,392,0.07142857142857142,0.05050762722761051,22,8624,6.283185307179586,6.283185307179586,True,1.0,0.0022321428571428557,2815,4.217394924232206e-07,3.1520547669749988e-06,4.217394924232206e-07,3.1520547669749988e-06,15.702167199982796,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,1.0470074072723468,1.1172235288499983
16,16,512,0.0625,0.044194173824159216,22,11264,6.283185307179586,6.283185307179586,True,1.0,0.0019531249999999998,3217,2.2683127422860132e-07,1.6209436662362187e-06,2.2683127422860132e-07,1.6209436662362187e-06,27.314970700012054,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,0.8947325597035749,0.9594586490898269
32,32,2048,0.03125,0.022097086912079608,22,45056,6.283185307179586,6.283185307179586,True,1.0,0.0009765624999999999,6434,1.0377575582518839e-08,5.371892178307469e-08,1.0377575582518839e-08,5.371892178307469e-08,212.01450669998303,False,post,step,projected,exchange,sin2pi_xy,exact_qb,sinx_rk_stage,inflow,4.450078220117644,4.915259794466761
